symbol,sector,sub_sector
1A0,Cyclical Consumer Services, Restaurants & Bars
1A1,Industrial Goods, Industrial Machinery & Equipment
1A4,Holding Companies, Investment Holding Companies
1AZ,Cyclical Consumer Services, Consumer Publishing
1B0,Cyclical Consumer Services, Entertainment Production
1B1,Healthcare Services, Healthcare Facilities & Services
1B6,Industrial & Commercial Services, Construction & Engineering
1D0,Cyclical Consumer Services, Restaurants & Bars
1D1,Cyclical Consumer Services, Leisure & Recreation
1D3,Cyclical Consumer Services, Restaurants & Bars
1D4,Healthcare Services, Healthcare Facilities & Services
1E3,Industrial & Commercial Services, Construction & Engineering
1F0,Cyclical Consumer Services, Advertising & Marketing
1F1,Software & IT Services, Internet Services
1F2,Utilities, Natural Gas Utilities
1F3,Real Estate, Real Estate Development & Operations
1G1,Cyclical Consumer Services, Restaurants & Bars
1H2,Real Estate, Real Estate Development & Operations
1H3,Healthcare Services, Healthcare Facilities & Services
1H8,Cyclical Consumer Products, Home Furnishings
1J0,Real Estate, Real Estate Development & Operations
1J4,Industrial & Commercial Services, Construction & Engineering
1J5,Pharmaceuticals & Medical Research, Pharmaceuticals
1J7,Applied Resources, Forest & Wood Products
1MZ,Industrial Goods, Shipbuilding
1R6,Technology Equipment, Semiconductors
1V3,Mineral Resources, Iron & Steel
1Y1,Industrial Goods, Industrial Machinery & Equipment
40B,Cyclical Consumer Services, Hotels
40E,Cyclical Consumer Services, Entertainment Production
40N,Industrial & Commercial Services, Business Support Supplies
40T,Healthcare Services, Healthcare Facilities & Services
40V,Real Estate, Real Estate Development & Operations
40W,Banking & Investment Services, Diversified Investment Services
41B,Industrial & Commercial Services, Construction & Engineering
41F,Industrial Goods, Industrial Machinery & Equipment
41H,Energy - Fossil Fuels, Coal
41O,Real Estate, Real Estate Development & Operations
41T,Mineral Resources, Construction Materials
42C,Pharmaceuticals & Medical Research, Pharmaceuticals
42D,Cyclical Consumer Services, Restaurants & Bars
42E,Industrial Goods, Electrical Components & Equipment
42F,Financial Technology (Fintech) & Infrastructure, Financial Technology (Fintech)
42L,Retailers, Apparel & Accessories Retailers
42N,Technology Equipment, Communications & Networking
42R,Cyclical Consumer Services, Restaurants & Bars
42S,Real Estate, Real Estate Development & Operations
42T,Banking & Investment Services, Investment Management & Fund Operators
42W,Food & Beverages, Food Processing
42Z,Industrial & Commercial Services, Environmental Services & Equipment
43A,Cyclical Consumer Services, Restaurants & Bars
43B,Industrial & Commercial Services, Business Support Services
43E,Mineral Resources, Construction Materials
43F,Industrial & Commercial Services, Construction & Engineering
43Q,Industrial & Commercial Services, Employment Services
49B,Industrial Goods, Industrial Machinery & Equipment
500,Industrial Goods, Electrical Components & Equipment
504,Cyclical Consumer Products, Home Furnishings
505,Healthcare Services, Healthcare Facilities & Services
508,Industrial Goods, Industrial Machinery & Equipment
